3D1058,D-EELC,BE33,BEECH 33 Bonanza,L1P,L
3D1558,D-EGII,AKRO,STEPHENS Akro,L1P,L
3D1658,D-EGSE,P28R,PIPER PA-28R-180/200/201,L1P,L
3D1958,D-EHVS,C172,CESSNA 172 Skyhawk,L1P,L
3D1A58,D-EIFO,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D1B58,D-EIPK,M20P,MOONEY M-20,L1P,L
3D1C58,D-EIZG,BE33,BEECH 33 Bonanza,L1P,L
3D1E58,D-EJSY,P28S,PIPER PA-28R-201T,L1P,L
3D2158,D-EKWM,C182,CESSNA 182 Skylane,L1P,L
3D2258,D-ELGI,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D2458,D-EMAA,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D2658,D-EMTS,S22T,CIRRUS SR-22T Turbo,L1P,L
3D2A58,D-EOHC,C150,CESSNA 150,L1P,L
3D3458,D-ESBO,C172,CESSNA 172 Skyhawk,L1P,L
3D3558,D-ESLK,S22T,CIRRUS SR-22T Turbo,L1P,L
3D3758,D-ETFC,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D3B58,D-EUSM,DA40,DIAMOND DA-40 Club Star,L1P,L
3D4058,D-EWPS,C172,CESSNA 172 Skyhawk,L1P,L
3D4558,D-EYMY,C182,CESSNA 182 Skylane,L1P,L
3D7D58,D-FTSI,P51,NORTH AMERICAN P-51 Mustang,L1P,L
3D8458,D-FWJG,AN2,ANTONOV An-2,L1P,L
3DDC58,D-HDRS,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3E4458,D-IRBS,P180,PIAGGIO P-180 Avanti,L2T,L
3E5F58,D-KBHO,VENT,SCHEMPP-HIRTH Ventus,L1P,L
3E6858,D-KESE,RF5,FOURNIER RF-5,L1P,L
3E6B58,D-KFVS,SF25,SCHEIBE SF-25 Falke,L1P,L
3E7058,D-KHSY,AS26,SCHLEICHER ASH-26,L1P,L
3E7658,D-KKAA,AS26,SCHLEICHER ASH-26,L1P,L
3E7E58,D-KNAU,SF25,SCHEIBE SF-25 Falke,L1P,L
3EC058,D-KNUM,TFUN,VALENTIN Taifun,L1P,L
3EC158,D-KOEI,SF28,SCHEIBE SF-28 Tandem Falke,L1P,L
3EC258,D-KOOE,SF25,SCHEIBE SF-25 Falke,L1P,L
3EC458,D-KPHW,VENT,SCHEMPP-HIRTH Ventus,L1P,L
3EE558,D-1217,GLID,,L0-,-
3EEB58,D-2753,GLID,,L0-,-
3EED58,D-3265,DISC,SCHEMPP-HIRTH Discus,L1P,L
3EF158,D-4289,GLID,,L0-,-
3EF658,D-5569,DG1T,DG FLUGZEUGBAU DG-1001T,L1P,L
3EF858,D-6081,GLID,,L0-,-
3EFF58,D-7873,GLID,,L0-,-
3F0558,D-9409,GLID,,L0-,-
3FD658,D-OSPK,BALL,,B0-,-
3FEA58,D-MKFF,C42,IKARUS C-42 Bison,L1P,L
