008BC7,ZS-ELI,LJ55,LEARJET 55,L2J,M
008EC7,ZS-FOW,P28B,PIPER PA-28-201T/235/236,L1P,L
0091C7,ZS-GSK,GLID,,L0-,-
009DC7,ZS-LGO,P28U,PIPER PA-28RT-201T Turbo,L1P,L
00A4C7,ZS-NXM,DV20,DIAMOND DA-20,L1P,L
00AEC7,ZS-RRY,R66,ROBINSON R-66,H1T,L
00DEC7,ZU-CAT,SVNH,AEROTEC Savannah,L1P,L
00DFC7,ZU-ADS,SLG4,AIRPLANE FACTORY Sling 4,L1P,L
0100C7,SU-CBJ,DH8C,DE HAVILLAND DHC-8-300 Dash 8,L2T,M
0200C7,CN-BTV,TEX2,BEECHCRAFT T-6 Texan 2,L1T,L
02A1C7,TS-IOH,B735,BOEING 737-500,L2J,M
0642C7,5N-BZV,E145,EMBRAER ERJ-145,L2J,M
06A1C7,A7-CGB,GLF6,GULFSTREAM G650,L2J,M
06A2C7,A7-BEX,B77W,BOEING 777-300ER,L2J,H
0AC3C7,HK-5165G,C172,CESSNA 172 Skyhawk,L1P,L
0AC9C7,ARC213,B412,BELL 412,H2T,L
0ACAC7,PNC0271,AT45,ATR-42-500,L2T,M
0C40C7,HI1033,CRJ2,BOMBARDIER Regional Jet CRJ-200,L2J,M
0D02C7,XA-TYD,BE40,BEECH 400 Beechjet,L2J,M
0D05C7,XA-RET,GLF5,GULFSTREAM 5,L2J,M
0D09C7,XA-VAZ,A320,AIRBUS A-320,L2J,M
0D0AC7,XA-MXJ,CL60,BOMBARDIER CL-600 Challenger,L2J,M
0D0DC7,XB-UAD,LJ31,LEARJET 31,L2J,M
0D0EC7,XA-RBS,GL7T,BOMBARDIER BD-700 Global 7000/7500,L2J,M
0D81C7,YV2964,E190,EMBRAER ERJ-190-100,L2J,M
1407C7,RA-01991,A139,AGUSTA AW-139,H2T,L
140FC7,RA-04039,EC20,AIRBUS HELICOPTERS EC-120,H1T,L
142DC7,RA-11719,,,,
1501C7,RF-95951,,,,
151DC7,RA-73159,A333,AIRBUS A-330-300,L2J,H
151EC7,RA-73415,A321,AIRBUS A-321,L2J,M
151FC7,RA-73671,B738,BOEING 737-800,L2J,M
152BC7,RA-76743,,,,
1533C7,RF-78791,IL76,ILYUSHIN Il-76/82,L4J,H
155BC7,RA-89031,SU95,SUKHOI Superjet 100-95,L2J,M
3000C7,I-BIKC,A320,AIRBUS A-320,L2J,M
3004C7,I-ADVD,GLF5,GULFSTREAM 5,L2J,M
3005C7,I-VISI,BE33,BEECH 33 Bonanza,L1P,L
3008C7,I-LRSS,PC24,PILATUS PC-24,L2J,M
31DDC7,I-C786,SVNH,AEROTEC Savannah,L1P,L
31FFC7,I-8831,SIRA,TECNAM P-2002 Sierra,L1P,L
33FFC7,MM55086,M339,AERMACCHI MB-339,L1J,L
3423C7,EC-JOY,CRJ2,BOMBARDIER Regional Jet CRJ-200,L2J,M
3432C7,EC-GLJ,PA27,PIPER PA-23-250 Aztec,L2P,L
3435C7,EC-FY7,SIRA,TECNAM P-2002 Sierra,L1P,L
3444C7,EC-LZZ,A320,AIRBUS A-320,L2J,M
3453C7,EC-MQD,B412,BELL 412,H2T,L
3455C7,EC-MOE,C172,CESSNA 172 Skyhawk,L1P,L
3460C7,EC-JDP,P28A,PIPER PA-28-140/150/160/180,L1P,L
3462C7,EC-MPU,PA27,PIPER PA-23-250 Aztec,L2P,L
3532C7,T.23-08,A400,AIRBUS A-400M,L4T,H
3571C7,E.27-07,PC21,PILATUS PC-21,L1T,L
3830C7,F-BMGH,DR10,CENTRE EST Ambassadeur,L1P,L
3838C7,F-BOGH,C150,CESSNA 150,L1P,L
3924C7,F-GJGH,P28S,PIPER PA-28R-201T,L1P,L
3950C7,F-GUGH,A318,AIRBUS A-318,L2J,M
3954C7,F-GVGH,C182,CESSNA 182 Skylane,L1P,L
395CC7,F-GXGH,DR40,ROBIN DR-400,L1P,L
3980C7,F-HAGH,C525,CESSNA 525 CitationJet,L2J,L
3984C7,F-HBGH,TBM8,SOCATA TBM-850,L1T,L
398CC7,F-HDGH,DA40,DIAMOND DA-40 Club Star,L1P,L
39A5C7,F-HJOH,EVSS,EVEKTOR SportStar,L1P,L
39B9C7,F-HOOH,PA18,PIPER PA-18 Super Cub,L1P,L
39CDC7,F-HTOH,SR20,CIRRUS SR-20,L1P,L
3AAAC7,F-MEBB,NH90,NHI NH-90,H2T,M
3AABC7,5606,AS55,AEROSPATIALE AS-355 Ecureuil 2,H2T,L
3B76C7,F-RAVR,AS55,AEROSPATIALE AS-355 Ecureuil 2,H2T,L
3B77C7,128,CN35,CASA CN-235 Persuader,L2T,M
3C0AC7,D-ATCC,A321,AIRBUS A-321,L2J,M
3C17C7,D-AYAC,A21N,AIRBUS A-321neo,L2J,M
3C1CC7,D-AZXI,A321,AIRBUS A-321,L2J,M
3C4DC7,D-ACNG,CRJ9,BOMBARDIER Regional Jet CRJ-900,L2J,M
3C4EC7,D-ACVG,A333,AIRBUS A-330-300,L2J,H
3C55C7,D-AENG,A20N,AIRBUS A-320neo,L2J,M
3C65C7,D-AING,A20N,AIRBUS A-320neo,L2J,M
3C6DC7,D-AKNG,A319,AIRBUS A-319,L2J,M
3C70C7,D-ALFG,B77L,BOEING 777-200LR,L2J,H
3C86C7,D-BAVG,C750,CESSNA 750 Citation 10,L2J,M
3C9AC7,D-BFVG,TWR,,T0-,-
3D04C7,D-EABF,TAMP,SOCATA TB-9 Tampico,L1P,L
3D05C7,D-EALB,CH7A,BELLANCA 7 Champion,L1P,L
3D07C7,D-EBET,PA11,PIPER PA-11 Cub Special,L1P,L
3D0BC7,D-ECSD,C150,CESSNA 150,L1P,L
3D0CC7,D-EDBZ,C182,CESSNA 182 Skylane,L1P,L
3D0DC7,D-EDLV,C172,CESSNA 172 Skyhawk,L1P,L
3D0FC7,D-EEFN,M20P,MOONEY M-20,L1P,L
3D10C7,D-EEPJ,DO27,DORNIER Do-27,L1P,L
3D12C7,D-EFJB,SL1,STAR-LITE SL-1 Star-Lite,L1P,L
3D14C7,D-EGCT,C152,CESSNA 152,L1P,L
3D15C7,D-EGMP,SR22,CIRRUS SR-22,L1P,L
3D1BC7,D-EITR,DR40,ROBIN DR-400,L1P,L
3D1FC7,D-EKHB,M20P,MOONEY M-20,L1P,L
3D21C7,D-ELAT,FDCT,FLIGHT DESIGN CT,L1P,L
3D25C7,D-EMOD,AC11,NORTH AMERICAN ROCKWELL Commander 112/114,L1P,L
3D26C7,D-EMXZ,F260,AERMACCHI SF-260,L1P,L
3D27C7,D-ENHV,DR40,ROBIN DR-400,L1P,L
3D29C7,D-EOBN,SUBA,FUJI FA-200 Aero Subaru,L1P,L
3D3CC7,D-EVGP,BE33,BEECH 33 Bonanza,L1P,L
3D46C7,D-EZBB,A210,AQUILA A-210,L1P,L
3D48C7,D-EZUT,SR22,CIRRUS SR-22,L1P,L
3D7AC7,D-FSTB,TBM8,SOCATA TBM-850,L1T,L
3D7CC7,D-FTMT,PC12,PILATUS PC-12,L1T,L
3DD3C7,D-HALJ,R44,ROBINSON R-44 Raven,H1P,L
3DD4C7,D-HAVF,G2CA,GUIMBAL G-2 Cabri,H1P,L
3DF7C7,D-HOBV,A109,AGUSTA AW-109 Grand,H2T,L
3DFDC7,D-HQIX,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3E23C7,D-IETB,PRM1,RAYTHEON 390 Premier 1,L2J,L
3E3FC7,D-IPIT,DA62,DIAMOND DA-62,L2P,L
3E5DC7,D-KASD,DIMO,DIAMOND H-36 Dimona,L1P,L
3E5EC7,D-KBBZ,GLID,,L0-,-
3E66C7,D-KECT,GLID,,L0-,-
3E75C7,D-KJUL,G109,GROB G-109,L1P,L
3E76C7,D-KKEH,SF25,SCHEIBE SF-25 Falke,L1P,L
3EC2C7,D-KOSL,GLID,,L0-,-
3EC3C7,D-KPCH,GLID,,L0-,-
3ECBC7,D-KSDB,G103,GROB G-103 Twin 3SL,L1P,L
3ED9C7,D-KXKX,DG80,DG FLUGZEUGBAU DG-800,L1P,L
3EE1C7,D-0304,GLID,,L0-,-
3EE3C7,D-0816,GLID,,L0-,-
3EF0C7,D-4144,GLID,,L0-,-
3EF3C7,D-4912,GLID,,L0-,-
3EF8C7,D-6192,GLID,,L0-,-
3EFAC7,D-6704,PK20,PIK 20E,L1P,L
3EFBC7,D-6960,GLID,,L0-,-
3F02C7,D-8752,GLID,,L0-,-
3FEBC7,D-MOSE,FK9,B&F TECHNIK FK-9,L1P,L
3FECC7,D-MRLD,FDCT,FLIGHT DESIGN CT,L1P,L
3FEEC7,D-MGWC,MT,ROTORSPORT MTOSport,G1P,L
3FEFC7,D-MFKT,FK14,B&F TECHNIK FK-14 Polaris,L1P,L
3FF1C7,D-MPKH,MCR1,COLOMBAN Ban-Bi,L1P,L
3FF2C7,D-MASO,ULAC,,L0-,-
3FF3C7,D-MOSR,WT9,AEROSPOOL WT-9 Dynamic,L1P,L
3FF4C7,D-MOAI,GOLF,TECNAM P-96 Golf,L1P,L
3FF5C7,D-MNPM,TL20,TL ULTRALIGHT TL-2000 Sting,L1P,L
3FF6C7,D-MQPG,C42,IKARUS C-42 Bison,L1P,L
4004C7,G-BNLY,B744,BOEING 747-400,L4J,H
4006C7,G-BZHB,B763,BOEING 767-300,L2J,H
4009C7,G-EUUJ,A320,AIRBUS A-320,L2J,M
400BC7,G-GAVA,JS31,BRITISH AEROSPACE Jetstream T.Mk.3,L2T,M
400DC7,G-OLFT,AC11,NORTH AMERICAN ROCKWELL Commander 112/114,L1P,L
400EC7,G-BYUC,G115,GROB G-115,L1P,L
4011C7,G-EMMM,DA40,DIAMOND DA-40 Club Star,L1P,L
4013C7,G-AFCL,ZZZZ,,-0-,-
4014C7,G-AOSY,DHC1,DE HAVILLAND DHC-1 Chipmunk,L1P,L
4015C7,G-ASJL,BE35,BEECH 35 Starfire Bonanza,L1P,L
4016C7,G-AVEF,D150,JODEL D-150 Mascaret,L1P,L
4017C7,G-AWSN,D6CR,DRUINE D-62 Condor,L1P,L
4018C7,G-AYLC,DR10,CENTRE EST Ambassadeur,L1P,L
4019C7,G-BAEN,DR40,ROBIN DR-400,L1P,L
401CC7,G-BFAK,RALL,SOCATA Rallye,L1P,L
401EC7,G-BIBS,BALL,,B0-,-
